"ProteinGroup","ProteinName","Genes","UniprotID"
"P37108","SRP14_HUMAN","SRP14","P37108"
"P36578","RL4_HUMAN","RPL4","P36578"
"O76031","CLPX_HUMAN","CLPX","O76031"
"P55036","PSMD4_HUMAN","PSMD4","P55036"
"A1X283","SPD2B_HUMAN","SH3PXD2B","A1X283"
"Q9BQE4","SELS_HUMAN","SELENOS","Q9BQE4"
"Q8WWH5","TRUB1_HUMAN","TRUB1","Q8WWH5"
"Q96GQ5","RUSF1_HUMAN","RUSF1","Q96GQ5"
"P59768","GBG2_HUMAN","GNG2","P59768"
"O95159","ZFPL1_HUMAN","ZFPL1","O95159"
"Q6P2E9","EDC4_HUMAN","EDC4","Q6P2E9"
"Q9NZQ3","SPN90_HUMAN","NCKIPSD","Q9NZQ3"
"Q9NQP4","PFD4_HUMAN","PFDN4","Q9NQP4"
"O15357","SHIP2_HUMAN","INPPL1","O15357"
"Q9H9Y2","RPF1_HUMAN","RPF1","Q9H9Y2"
"O15042","SR140_HUMAN","U2SURP","O15042"
"P02786","TFR1_HUMAN","TFRC","P02786"
"P07954","FUMH_HUMAN","FH","P07954"
"Q9Y490","TLN1_HUMAN","TLN1","Q9Y490"
"O94826","TOM70_HUMAN","TOMM70","O94826"
"Q8N4T8","CBR4_HUMAN","CBR4","Q8N4T8"
"P35221","CTNA1_HUMAN","CTNNA1","P35221"
"Q96C19","EFHD2_HUMAN","EFHD2","Q96C19"
"Q96T51","RUFY1_HUMAN","RUFY1","Q96T51"
"Q9BQS8","FYCO1_HUMAN","FYCO1","Q9BQS8"
"P58107","EPIPL_HUMAN","EPPK1","P58107"
"P51970","NDUA8_HUMAN","NDUFA8","P51970"
"Q53GG5","PDLI3_HUMAN","PDLIM3","Q53GG5"
"P0DMV8;P0DMV9","HS71A_HUMAN;HS71B_HUMAN","HSPA1A;HSPA1B","P0DMV9;P0DMV8"
"Q15063","POSTN_HUMAN","POSTN","Q15063"
"Q16853","AOC3_HUMAN","AOC3","O75106;Q16853"
"Q8IYS1","P20D2_HUMAN","PM20D2","Q8IYS1"
"P31948","STIP1_HUMAN","STIP1","P31948"
"Q13423","NNTM_HUMAN","NNT","Q13423"
"Q13939","CALI_HUMAN","CCIN","Q13939"
"P98172","EFNB1_HUMAN","EFNB1","P98172"
"O60716","CTND1_HUMAN","CTNND1","O60716"
"Q14498","RBM39_HUMAN","RBM39","Q14498"
"Q15042","RB3GP_HUMAN","RAB3GAP1","Q15042"
"Q9NX63","MIC19_HUMAN","CHCHD3","Q9NX63"
"Q9H477","RBSK_HUMAN","RBKS","Q9H477"
"P26641","EF1G_HUMAN","EEF1G","P26641"
"P20810","ICAL_HUMAN","CAST","P20810"
"Q96D96","HVCN1_HUMAN","HVCN1","Q96D96"
"P31350","RIR2_HUMAN","RRM2","P31350"
"Q16643","DREB_HUMAN","DBN1","Q16643"
"P53618","COPB_HUMAN","COPB1","P53618"
"Q9NVA2","SEP11_HUMAN","SEPTIN11","Q9NVA2"
"Q7Z5L9","I2BP2_HUMAN","IRF2BP2","Q7Z5L9"
"P08559","ODPA_HUMAN","PDHA1","P08559"
"P14555","PA2GA_HUMAN","PLA2G2A","P14555"
"Q8N1S5","S39AB_HUMAN","SLC39A11","Q8N1S5"
"P02730","B3AT_HUMAN","SLC4A1","P02730"
"Q03252","LMNB2_HUMAN","LMNB2","Q03252"
"P49006","MRP_HUMAN","MARCKSL1","P49006"
"Q7KZF4","SND1_HUMAN","SND1","Q7KZF4"
"P09327","VILI_HUMAN","VIL1","P09327"
"Q6UWP2","DHR11_HUMAN","DHRS11","Q6UWP2"
"Q12955","ANK3_HUMAN","ANK3","Q12955"
