"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_1T",-0.940986302640886,-0.347216154801295,-0.108375098453476,-0.333069661898765,-0.0434912615373807,-0.249249292806108,-0.960948328804321,-0.811651241042545,0.637443264626348,-0.60795343048986,1.93636327919544
"PDAC_2T",-0.321491489529984,2.36437290411268,-0.0252773457430574,0.214642806222932,-0.553120168935584,0.0689902819001718,-0.420950378081981,-0.411191376587837,-0.680360309395045,-0.282349790712292,-0.601565012406982
"PDAC_3T",1.19316337487649,-0.592325492793958,-0.397530556548264,-0.286487805899389,1.65954363617682,0.895915573389979,-0.550024527042732,-0.509430932814171,-0.831697863308795,-0.282349790712292,-0.692667063674248
"PDAC_4T",-0.870482494951676,-0.469765994437616,-0.383235424021621,0.692858150474592,-0.504520678092908,-0.249249292806108,0.83974138224392,-0.218862107290138,1.39551004461628,-0.282349790712292,5.06972990744107
"PDAC_5T",-0.363093385946762,0.120362481452981,-0.341167055164607,-0.0276579769996297,-0.662358065589956,0.158364905073851,1.1893562408737,1.51577233148777,0.0969418980082201,-0.284028159989496,0.7747765276747
"PDAC_6T",2.19373039669504,-0.661588174070128,-0.134049317198287,-0.408953007962265,-0.875951718266103,-0.165723117497373,2.47217645830663,-0.998952815748644,-0.725089749979366,0.350059752938159,-0.122773753597699
"PDAC_7T",-0.644614566938262,-0.224299283804148,-0.130989764673846,-0.469058628606621,0.994573890468692,-0.146077502569825,-0.223571581818037,-0.305609790164245,-0.514772981129135,-0.818420937851236,-0.232059193340784
"PDAC_8T",1.64992691380943,0.167429424119106,1.09023091246932,-0.237651989125849,-0.803385355227038,-0.883951289552524,6.08485575970591,-0.273767724417448,0.133185120616069,-0.282349790712292,0.652092052257576
"PDAC_9T",0.220059707660694,-0.345564513677571,-0.264655281059021,-0.0471923037090454,0.557899698205329,0.737328931836682,-0.20943253686127,-0.154220319683858,-0.0362563649808214,-0.333707890594733,0.969454121442448
"PDAC_10T",-0.932238715619265,-0.221314739317418,-0.380633177972065,-0.286487805899389,-0.233617351854564,0.175296323202199,-0.808275034927777,-0.948995088536877,-0.549955426489925,0.174502326542625,-1.13822415748544
"PDAC_11T",0.154525459375794,-0.236411318711457,-0.180187522340159,-0.437127517639307,-0.488764678778615,-0.354101300108563,1.2578142031222,-0.238813276304423,-0.384297379740879,-0.737523538690005,1.82717751346906
"PDAC_12T",-0.809714373814768,-0.548358999254824,-0.231084393603535,-0.28498516538328,-0.794619693636692,-0.0568967505960882,1.58386398682403,-0.768716325323806,-0.202586237319672,4.72154037234358,-0.259797048274925
"PDAC_13T",0.138367125874062,-0.62617930647029,-0.34304985671811,-0.448772981639151,1.53233058537516,1.75295552460425,0.817135945307016,-0.425157194897835,0.272005503014523,-0.65494777025157,1.06949835592257
"PDAC_14T",-0.0248146054428855,-0.484524518630892,-0.380914450155363,-0.308276093382968,0.000448004155998054,-1.06845204816486,-0.97835809259446,-0.276401278727334,1.14053455366486,-0.822952534899686,-1.23311382138745
"PDAC_15T",-0.542375327263637,-0.386073185448909,-0.173046653033583,-0.324053818802112,-0.846048606891443,-0.0869467865872386,-0.292262355650169,-0.774781480704149,0.0925573520537095,0.963335886828484,-0.363030851289566
