"Input_Set","Protein","Coefficient","Hazard_Ratio"
"Both Cohorts >=80%","GPD1",-0.0346431588421274,0.965950045497643
"Both Cohorts >=80%","TNC",0.13995269160615,1.1502193825385
"Both Cohorts >=80%","MYH11",-0.08504509995283,0.918470860474873
"Both Cohorts >=80%","SLC2A1",0.0141103982216199,1.01421041978493
"Both Cohorts >=80%","FABP3",-0.0162228214424452,0.983908059815129
"Both Cohorts >=80%","NT5E",0.0344918439849478,1.03509358610282
"Both Cohorts >=80%","C1QC",0.076963468599551,1.08000262166368
"Both Cohorts >=80%","GNAO1",-0.0120957785262175,0.987977081341382
"Both Cohorts >=80%","NAMPT",0.000607563647637131,1.00060774825181
"Both Cohorts >=80%","CBR1",-0.216031989866421,0.805709526921073
"Both Cohorts >=80%","PCNA",0.153304027391529,1.16567932351887
"Both Cohorts >=80%","ALDH9A1",-0.0218588543893174,0.978378319111331
"Both Cohorts >=80%","PYGL",0.0371031724135614,1.03780008765473
"Both Cohorts >=80%","SHMT2",0.00446959434967725,1.00447959788486
"Both Cohorts >=80%","IDH1",-0.100519645652215,0.904367345351907
"Both Cohorts >=80%","SUCLG1",-0.09012210451268,0.913819596962084
"Both Cohorts >=80%","GBE1",0.0129220833231958,1.01300593422877
