"Protein","Coefficient","Hazard_Ratio"
"HMGCS2",-0.192910671329871,0.824555627307024
"ADH1C",-0.0106936355900495,0.989363338065001
"F3",0.150810956023503,1.16277682134898
"TNC",0.0690496347263714,1.07148939091123
"MYH11",-0.0648578951973767,0.937200634626244
"TK1",0.0357534385379385,1.03640027861765
"PRKCB",-0.0654495122034811,0.936646334775444
"KPNA2",0.0212432884949293,1.02147053343862
"C1QC",0.121358464033595,1.12902955632667
"GNAO1",-0.037939731116169,0.962770964274081
"CBR1",-0.24534765005014,0.782432478263476
"IFITM3",0.0854230416969591,1.08917773684827
"CEBPB",0.0698211785226852,1.07231641090365
"HLA-E",0.0769675527596736,1.08000703257633
"PCNA",0.0751813575576157,1.07807965104881
"SHMT2",0.0206758865500023,1.02089111346881
"MRTO4",0.173283551944777,1.18920325817816
"IDH1",-0.0729174317471025,0.929677588711092
