gene_id	gene_name	seqname	start	end	strand	gene_type	gene_status	havana_gene	full_length	exon_length	exon_num
ENSG00000223972.5	DDX11L1	chr1	11869	14409	+	transcribed_unprocessed_pseudogene	KNOWN	OTTHUMG00000000961.2	2541	1735	9
ENSG00000238009.5	RP11-34P13.7	chr1	89295	133723	-	lincRNA	NOVEL	OTTHUMG00000001096.2	44429	3726	17
ENSG00000230415.1	RP5-902P8.10	chr1	1275223	1280420	+	lincRNA	NOVEL	OTTHUMG00000002234.2	5198	513	5
ENSG00000236335.1	RP4-591L5.1	chr1	30409560	30411638	-	lincRNA	NOVEL	OTTHUMG00000003682.1	2079	507	3
ENSG00000213842.2	SUGT1P2	chr3	32752910	32753901	+	processed_pseudogene	KNOWN	OTTHUMG00000155904.1	992	992	1
ENSG00000227337.1	AC139452.2	chr3	32785646	32786116	+	processed_pseudogene	KNOWN	OTTHUMG00000155776.1	471	471	1
ENSG00000206557.5	TRIM71	chr3	32818018	32897826	+	protein_coding	KNOWN	OTTHUMG00000155778.3	79809	8685	4
ENSG00000183813.6	CCR4	chr3	32951574	32956349	+	protein_coding	KNOWN	OTTHUMG00000130752.2	4776	3095	2
ENSG00000170266.14	GLB1	chr3	32996608	33097230	-	protein_coding	KNOWN	OTTHUMG00000155781.6	100623	4364	123
ENSG00000223899.1	SEC13P1	chr3	33033863	33034810	+	processed_pseudogene	KNOWN	OTTHUMG00000155780.1	948	948	1
ENSG00000235424.1	SUMO2P10	chr3	33077204	33077491	+	processed_pseudogene	KNOWN	OTTHUMG00000155777.1	288	288	1
ENSG00000188167.7	TMPPE	chr3	33090421	33096801	-	protein_coding	KNOWN	OTTHUMG00000155779.1	6381	3966	4
ENSG00000275090.1	Metazoa_SRP	chr3	33103008	33103306	+	misc_RNA	NOVEL	NA	299	299	1
ENSG00000170275.13	CRTAP	chr3	33113979	33147773	+	protein_coding	KNOWN	OTTHUMG00000130746.3	33795	6695	18
ENSG00000231949.1	RP4-591L5.2	chr1	30415825	30421108	+	lincRNA	NOVEL	OTTHUMG00000037511.1	5284	481	3
ENSG00000272149.1	RP11-627J17.1	chr3	33144104	33147721	-	antisense	NOVEL	OTTHUMG00000185462.1	3618	305	2
ENSG00000173705.7	SUSD5	chr3	33150042	33219215	-	protein_coding	KNOWN	OTTHUMG00000155829.2	69174	5008	9
